"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2683","SL-CART-004 - Proceed to checkout from cart","Firefox","Wed Jul 30 06:30:56 UTC 2025","passed","Wed Jul 30 06:30:59 UTC 2025","Cart Page Tests","cart.spec.js","",""
"","1518","SL-LGN-003 - Error for invalid password","Mobile Chrome","Wed Jul 30 06:31:22 UTC 2025","passed","Wed Jul 30 06:31:24 UTC 2025","Login Page Tests","login.spec.js","",""
"","1117","SL-LGN-004 - Error for empty username","Chrome","Wed Jul 30 06:30:43 UTC 2025","passed","Wed Jul 30 06:30:44 UTC 2025","Login Page Tests","login.spec.js","",""
"","1954","SL-PROD-003 - Verify hamburger menu functionality","Safari","Wed Jul 30 06:31:13 UTC 2025","passed","Wed Jul 30 06:31:15 UTC 2025","Products Page Tests","products.spec.js","",""
"","1281","SL-CART-003 - Continue shopping from cart","Chrome","Wed Jul 30 06:30:42 UTC 2025","passed","Wed Jul 30 06:30:43 UTC 2025","Cart Page Tests","cart.spec.js","",""
"","3040","SL-CHKI-001 - Valid checkout information proceeds","Safari","Wed Jul 30 06:31:06 UTC 2025","passed","Wed Jul 30 06:31:09 UTC 2025","Checkout Info Page Tests","checkout-info.spec.js","",""
"","1399","SL-LGN-002 - Error for invalid username","Safari","Wed Jul 30 06:31:08 UTC 2025","passed","Wed Jul 30 06:31:10 UTC 2025","Login Page Tests","login.spec.js","",""
"","1342","SL-PROD-002 - Add ""Sauce Labs Backpack"" to cart","Chrome","Wed Jul 30 06:30:40 UTC 2025","passed","Wed Jul 30 06:30:42 UTC 2025","Products Page Tests","products.spec.js","",""
"","1591","SL-LGN-006 - Locked out user cannot login","Safari","Wed Jul 30 06:31:14 UTC 2025","passed","Wed Jul 30 06:31:16 UTC 2025","Login Page Tests","login.spec.js","",""
"","1930","SL-PROD-003 - Verify hamburger menu functionality","Firefox","Wed Jul 30 06:30:58 UTC 2025","passed","Wed Jul 30 06:31:00 UTC 2025","Products Page Tests","products.spec.js","",""
"","2116","SL-LGN-002 - Error for invalid username","Firefox","Wed Jul 30 06:30:53 UTC 2025","passed","Wed Jul 30 06:30:55 UTC 2025","Login Page Tests","login.spec.js","",""
"","2810","SL-CART-003 - Continue shopping from cart","Firefox","Wed Jul 30 06:30:53 UTC 2025","passed","Wed Jul 30 06:30:56 UTC 2025","Cart Page Tests","cart.spec.js","",""
"","1628","SL-LGN-004 - Error for empty username","Firefox","Wed Jul 30 06:30:57 UTC 2025","passed","Wed Jul 30 06:30:59 UTC 2025","Login Page Tests","login.spec.js","",""
"","1461","SL-CART-004 - Proceed to checkout from cart","Mobile Chrome","Wed Jul 30 06:31:21 UTC 2025","passed","Wed Jul 30 06:31:23 UTC 2025","Cart Page Tests","cart.spec.js","",""
"","2421","SL-CHKI-004 - Missing zip code error","Firefox","Wed Jul 30 06:30:58 UTC 2025","passed","Wed Jul 30 06:31:01 UTC 2025","Checkout Info Page Tests","checkout-info.spec.js","",""
"","1464","SL-PROD-001 - Verify product display","Mobile Chrome","Wed Jul 30 06:31:23 UTC 2025","passed","Wed Jul 30 06:31:24 UTC 2025","Products Page Tests","products.spec.js","",""
"","2660","SL-PROD-005 - Logout from products page","Safari","Wed Jul 30 06:31:24 UTC 2025","passed","Wed Jul 30 06:31:27 UTC 2025","Products Page Tests","products.spec.js","",""
"","856","SL-LGN-006 - Locked out user cannot login","Mobile Chrome","Wed Jul 30 06:31:26 UTC 2025","passed","Wed Jul 30 06:31:27 UTC 2025","Login Page Tests","login.spec.js","",""
"","2605","SL-CART-002 - Remove item from cart","Firefox","Wed Jul 30 06:30:51 UTC 2025","passed","Wed Jul 30 06:30:53 UTC 2025","Cart Page Tests","cart.spec.js","",""
"","2269","SL-PROD-004 - Navigate to ""About"" page from menu","Mobile Chrome","Wed Jul 30 06:31:27 UTC 2025","passed","Wed Jul 30 06:31:29 UTC 2025","Products Page Tests","products.spec.js","",""
"","1943","SL-LGN-001 - Successful login with valid credentials","Safari","Wed Jul 30 06:31:06 UTC 2025","passed","Wed Jul 30 06:31:08 UTC 2025","Login Page Tests","login.spec.js","",""
"","4308","SL-PROD-001 - Verify product display","Firefox","Wed Jul 30 06:30:51 UTC 2025","passed","Wed Jul 30 06:30:55 UTC 2025","Products Page Tests","products.spec.js","",""
"","2865","SL-CHKI-002 - Missing first name error","Firefox","Wed Jul 30 06:30:53 UTC 2025","passed","Wed Jul 30 06:30:56 UTC 2025","Checkout Info Page Tests","checkout-info.spec.js","",""
"","2426","SL-CHKI-003 - Missing last name error","Firefox","Wed Jul 30 06:30:56 UTC 2025","passed","Wed Jul 30 06:30:58 UTC 2025","Checkout Info Page Tests","checkout-info.spec.js","",""
"","1247","SL-LGN-002 - Error for invalid username","Chrome","Wed Jul 30 06:30:40 UTC 2025","passed","Wed Jul 30 06:30:42 UTC 2025","Login Page Tests","login.spec.js","",""
"","1362","SL-PROD-005 - Logout from products page","Mobile Chrome","Wed Jul 30 06:31:29 UTC 2025","passed","Wed Jul 30 06:31:30 UTC 2025","Products Page Tests","products.spec.js","",""
"","1580","SL-CHKI-001 - Valid checkout information proceeds","Mobile Chrome","Wed Jul 30 06:31:17 UTC 2025","passed","Wed Jul 30 06:31:18 UTC 2025","Checkout Info Page Tests","checkout-info.spec.js","",""
"","949","SL-PROD-003 - Verify hamburger menu functionality","Mobile Chrome","Wed Jul 30 06:31:26 UTC 2025","passed","Wed Jul 30 06:31:27 UTC 2025","Products Page Tests","products.spec.js","",""
"","1614","SL-LGN-005 - Error for empty password","Firefox","Wed Jul 30 06:30:59 UTC 2025","passed","Wed Jul 30 06:31:01 UTC 2025","Login Page Tests","login.spec.js","",""
"","2141","SL-CHKI-003 - Missing last name error","Safari","Wed Jul 30 06:31:11 UTC 2025","passed","Wed Jul 30 06:31:14 UTC 2025","Checkout Info Page Tests","checkout-info.spec.js","",""
"","1143","SL-LGN-004 - Error for empty username","Mobile Chrome","Wed Jul 30 06:31:24 UTC 2025","passed","Wed Jul 30 06:31:25 UTC 2025","Login Page Tests","login.spec.js","",""
"","1244","SL-LGN-005 - Error for empty password","Chrome","Wed Jul 30 06:30:44 UTC 2025","passed","Wed Jul 30 06:30:45 UTC 2025","Login Page Tests","login.spec.js","",""
"","1568","SL-LGN-006 - Locked out user cannot login","Firefox","Wed Jul 30 06:31:01 UTC 2025","passed","Wed Jul 30 06:31:02 UTC 2025","Login Page Tests","login.spec.js","",""
"","1649","SL-CART-001 - Verify item in cart","Chrome","Wed Jul 30 06:30:37 UTC 2025","passed","Wed Jul 30 06:30:39 UTC 2025","Cart Page Tests","cart.spec.js","",""
"","4157","SL-LGN-001 - Successful login with valid credentials","Firefox","Wed Jul 30 06:30:48 UTC 2025","passed","Wed Jul 30 06:30:52 UTC 2025","Login Page Tests","login.spec.js","",""
